Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Postal Code;City;State;Country;Region;Market;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Shipping Cost;Order Priority;Month;Year;Fiscal year
16389;IT-2015-MG17890139-42252;Cumartesi, Eylül 05, 2015;Cumartesi, Eylül 05, 2015;Same Day;MG-17890139;Michael Granlund;Home Office;;Sheffield;England;United Kingdom;Northern Europe;Europe;TEC-PH-3807;Technology;Phones;Cisco Smart Phone, with Caller ID;327,12;1;0,5;-39,27;88,45;High;September;2015;2021
11677;IT-2015-PB1921064-42249;Çarşamba, Eylül 02, 2015;Pazartesi, Eylül 07, 2015;Standard Class;PB-1921064;Phillip Breyer;Corporate;;Naples;Campania;Italy;Southern Europe;Europe;OFF-ST-4060;Office Supplies;Storage;Eldon Folders, Blue;20,376;2;0,4;-7,824;1,44;Medium;September;2015;2021
11678;IT-2015-PB1921064-42249;Çarşamba, Eylül 02, 2015;Pazartesi, Eylül 07, 2015;Standard Class;PB-1921064;Phillip Breyer;Corporate;;Naples;Campania;Italy;Southern Europe;Europe;OFF-ST-6040;Office Supplies;Storage;Smead Folders, Single Width;42,048;4;0,4;-6,312;2;Medium;September;2015;2021
15769;ES-2015-BF1117064-42263;Çarşamba, Eylül 16, 2015;Pazartesi, Eylül 21, 2015;Standard Class;BF-1117064;Ben Ferrer;Home Office;;Carrara;Tuscany;Italy;Southern Europe;Europe;OFF-ST-4108;Office Supplies;Storage;Eldon Trays, Wire Frame;169,344;6;0,4;-2,916;7,3;Medium;September;2015;2021
16629;IT-2015-BF1121564-42256;Çarşamba, Eylül 09, 2015;Pazartesi, Eylül 14, 2015;Second Class;BF-1121564;Benjamin Farhat;Home Office;;Rome;Lazio;Italy;Southern Europe;Europe;OFF-ST-5705;Office Supplies;Storage;Rogers Shelving, Blue;149,112;4;0,4;-87,048;12,29;Medium;September;2015;2021
10642;IT-2015-JF1556564-42257;Perşembe, Eylül 10, 2015;Pazar, Eylül 13, 2015;First Class;JF-1556564;Jill Fjeld;Consumer;;Milan;Lombardy;Italy;Southern Europe;Europe;OFF-ST-6281;Office Supplies;Storage;Tenex Trays, Blue;130,104;4;0,4;-41,256;16,88;High;September;2015;2021
10643;IT-2015-JF1556564-42257;Perşembe, Eylül 10, 2015;Pazar, Eylül 13, 2015;First Class;JF-1556564;Jill Fjeld;Consumer;;Milan;Lombardy;Italy;Southern Europe;Europe;OFF-ST-5689;Office Supplies;Storage;Rogers Box, Wire Frame;55,296;4;0,4;-25,824;18,32;High;September;2015;2021
13543;ES-2015-SV2081564-42251;Cuma, Eylül 04, 2015;Pazar, Eylül 06, 2015;Second Class;SV-2081564;Stuart Van;Corporate;;Ravenna;Emilia-Romagna;Italy;Southern Europe;Europe;OFF-ST-4078;Office Supplies;Storage;Eldon Lockers, Blue;237,492;2;0,4;-118,788;24,21;High;September;2015;2021
11676;IT-2015-PB1921064-42249;Çarşamba, Eylül 02, 2015;Pazartesi, Eylül 07, 2015;Standard Class;PB-1921064;Phillip Breyer;Corporate;;Naples;Campania;Italy;Southern Europe;Europe;TEC-PH-5814;Technology;Phones;Samsung Audio Dock, VoIP;100,152;1;0,4;-23,388;6,06;Medium;September;2015;2021
13229;ES-2015-BG1103564-42251;Cuma, Eylül 04, 2015;Salı, Eylül 08, 2015;Standard Class;BG-1103564;Barry Gonzalez;Consumer;;Pescara;Abruzzi;Italy;Southern Europe;Europe;TEC-PH-3140;Technology;Phones;Apple Office Telephone, Full Size;199,71;5;0,4;13,26;13,87;Medium;September;2015;2021
18865;IT-2015-SW2027564-42277;Çarşamba, Eylül 30, 2015;Cuma, Ekim 02, 2015;First Class;SW-2027564;Scott Williamson;Consumer;;Ravenna;Emilia-Romagna;Italy;Southern Europe;Europe;TEC-PH-5841;Technology;Phones;Samsung Smart Phone, VoIP;1145,232;3;0,4;-706,248;236,69;Critical;September;2015;2021
16215;ES-2015-ME1732064-42253;Pazar, Eylül 06, 2015;Pazar, Eylül 06, 2015;Same Day;ME-1732064;Maria Etezadi;Home Office;;Trento;Trentino-Alto Adige;Italy;Southern Europe;Europe;TEC-MA-4212;Technology;Machines;Epson Receipt Printer, Wireless;351,09;5;0,4;-93,66;59,35;High;September;2015;2021
